
===== energy_monitoring.log =====
2026-07-31T13:01:53.8251908+05:30 | BACKEND VERIFY OK: pid=13488 executable='C:\Users\venur\AppData\Local\Programs\Python\Python313\python.exe' commandLine='"D:\FFPL\energy-monitoring-system\.venv\Scripts\python.exe" -u main.py '.
2026-07-31T13:01:54.6184651+05:30 | BACKEND STOP REQUESTED: pid=13488.
2026-07-31T13:01:54.7010260+05:30 | BACKEND CRASHED: exit_code=-1. Restarting in 10 second(s).
2026-07-31T13:01:54.9387931+05:30 | BACKEND STOPPED: pid=13488.
2026-07-31T13:02:04.7171953+05:30 | BACKEND RESTARTING after exit_code=-1.
2026-07-31T13:02:04.7226878+05:30 | BACKEND STARTING: executable=D:\FFPL\energy-monitoring-system\.venv\Scripts\python.exe.
2026-07-31T13:02:04.7659520+05:30 | BACKEND STARTED: pid=21276 executable=D:\FFPL\energy-monitoring-system\.venv\Scripts\python.exe script=main.py.
2026-07-31T13:03:31.1443022+05:30 | STOP REQUESTED: scheduled task EnergyMonitoringBackend project=D:\FFPL\energy-monitoring-system.
2026-07-31T13:03:35.5497908+05:30 | SCHEDULED TASK NOT FOUND: EnergyMonitoringBackend.
2026-07-31T13:03:35.6311343+05:30 | BACKEND PID READ: pid=23008 from pid file at D:\FFPL\energy-monitoring-system\data\energy-monitoring-system-main.pid.
